target,best_model,cal_method,USED_FALLBACK,N_train,N_test,BASE_MAE,BASE_RMSE,BASE_R2,BASE_CCC,BASE_Bias,BASE_r,CAL_MAE,CAL_RMSE,CAL_R2,CAL_CCC,CAL_Bias,CAL_r,IMPROVE_RMSE,IMPROVE_MAE,tol_minutes
PM2.5,RF,direct,False,2266,567,15.288658504928348,18.82781022470885,0.5558559460449845,0.827746489626249,13.42221363292792,0.9173571271376936,8.43129227441214,11.573635052861228,0.8321722409793862,0.8985034938935902,-3.092273809122193,0.9274601861921324,7.254175171847621,6.857366230516208,5
PM10,RF,direct,False,2249,563,28.99403127955526,37.28604722937464,-0.033584165411024935,0.6253151767668509,10.751683928859775,0.666839783879776,19.260195759651175,27.079834142453116,0.4548134202896673,0.6377140920241867,-11.09796310015884,0.7464247352018837,10.206213086921522,9.733835519904083,5
CO,RF,direct,False,2266,567,0.8553246562373547,0.9312114314068909,-4.087265580397704,0.05581558244783834,-0.8549623025416676,0.4764986566150659,0.2418103128709546,0.3286405115707565,0.366378348524125,0.4895966545579402,-0.0009670269457544399,0.6185132651902768,0.6025709198361344,0.6135143433664001,5
NO2,RF,direct,False,2266,567,22.422499815489232,28.575303692859883,-0.19174633189061985,0.6095165427790047,17.040786995681177,0.7287386344008049,15.403571330141213,22.332152809015263,0.2721141174826256,0.3879479011787519,-7.8729700878437665,0.734156975891315,6.243150883844621,7.0189284853480185,5
SO2,RF,direct,False,2248,562,3.5555636435529667,4.955988235231783,-0.055953561680072594,0.1744983605381297,-1.5975601207807613,0.2711124430371239,3.4106606606126184,4.760916180628754,0.025536993152339815,0.2531096455273662,-1.4351723244463477,0.35514058026902234,0.19507205460302934,0.1449029829403483,5
O3,RF,residual,False,2266,567,22.13166980971214,27.34554091541398,0.4528942985557495,0.6105947659561188,-2.215362875415785,0.67703516632277,20.75355715602769,26.52022558662068,0.4854203211473703,0.648442028464945,10.9535555962385,0.7740658867032109,0.8253153287933017,1.3781126536844504,5
