Hum,PM,count,mean,median,std
High Hum,High PM2.5,734,28.352449318014713,27.73863636363636,19.321349891218592
High Hum,Low PM2.5,684,24.466977101845526,24.422222222222224,9.28759488373
Low Hum,High PM2.5,687,15.267262884293451,14.27272727272728,16.04010605846813
Low Hum,Low PM2.5,728,12.709931338502766,12.774999999999999,8.133778923525888
