feature,importance_mean,importance_std
mc_PM2.5_mean,9.504989288287012,0.3841880653621838
mc_PM10_mean,5.018180306795225,0.2270476390425328
mc_PM2.5_mean_x_hum,1.7332486679110297,0.1310859785572643
mc_Humidity_mean,0.363153827721194,0.06457671751974887
mc_SO2_mean,0.3016629473684671,0.07330493954398294
mc_PM10_std,0.24741501643601058,0.03333288104922686
mc_PM2.5_std,0.14283397445518303,0.03652547951319374
mc_CO_mean,0.13016023062824145,0.026861533184226086
n_points,0.12511360877654837,0.033780215897736755
mc_PM10_iqr,0.1135877036273353,0.022064433517021535
mc_NO2_mean,0.10302711398947047,0.048128963529141186
mc_PM2.5_iqr,0.09378455861676453,0.025870626318669546
mc_Pressure_mean,0.07711312283440544,0.013013184413229411
mc_O3_mean,0.0563097593040216,0.017348115909949918
mc_Temperature_mean,0.053228748010394525,0.01947348601306625
mc_O3_std,0.045950994156451944,0.011980733172125347
mc_NO2_iqr,0.027248748949630298,0.008529058772375612
mc_WindSpeed_std,0.025876341060124552,0.01140839359954431
mc_WindSpeed_mean,0.02521142092888686,0.010959214091390258
mc_NO2_std,0.013051377696721734,0.010089881281189832
mc_Precipitation_mean,0.009230494464721507,0.006571228346656928
mc_Precipitation_std,0.008296429366988356,0.004349979677928971
mc_Precipitation_iqr,0.006614463053474929,0.004227811299033432
mc_O3_iqr,0.006311028158611088,0.008724074787508893
mc_SO2_iqr,0.006164467389043526,0.002044261201328252
is_weekend,0.005241811457311752,0.004349398117837421
mc_WindSpeed_iqr,0.004985591938460665,0.006100497238041908
cos_hour,0.0037371239962534553,0.006813254891611318
mc_SO2_std,0.0026183548867578566,0.004250328897564315
min_delta_sec,0.0011789081385400024,0.0022928190893579817
mc_Temperature_std,0.0009344677195547213,0.0028114596097466044
mc_Pressure_std,0.0005987278087833837,0.008190666453602374
mc_CO_iqr,0.00013622786246090258,0.0011790754393662811
t_days,-5.329070518200751e-16,8.140289677804161e-16
sin_month,-6.217248937900876e-16,8.472682124045023e-16
cos_month,-8.881784197001252e-16,8.881784197001252e-16
mc_Humidity_iqr,-0.0002812160848512768,0.014521614380334811
mc_Temperature_iqr,-0.005903182806452101,0.002701991318754209
mc_CO_std,-0.007774738616904387,0.0035700386646111654
mc_Pressure_iqr,-0.008835334594591338,0.0034007541168478385
hour_of_day,-0.01105184648443407,0.014514832583120458
mc_Humidity_std,-0.020404011950694478,0.014981978206497167
sin_hour,-0.028030818333596486,0.013031700041064036
