target,model_linear_CV_RMSE,model_linear_CV_MAE,model_linear_CV_R2,model_tree_CV_RMSE,model_tree_CV_MAE,model_tree_CV_R2,best_model,best_CV_RMSE,best_CV_MAE,test_RMSE,test_MAE,N_train,N_test,tol_minutes
PM2.5,26.82120317601407,11.661534754044638,-7.303100705313797,10.403556439305877,7.773582723824978,0.3305638227327393,HGBR,10.403556439305877,7.773582723824978,6.998114571021534,5.152203631364045,2266,567,5
PM10,27.521587148915167,16.204718050912067,0.5179786729723883,20.28055003870648,14.20502924204099,0.7917284556040407,HGBR,20.28055003870648,14.20502924204099,12.129198891116173,9.769955379988184,2249,563,5
CO,0.4656982151384536,0.16579694964375377,-1.4174090495059155,0.1318473225747635,0.09822549077448914,0.8744572999143536,HGBR,0.1318473225747635,0.09822549077448914,0.11641636648126916,0.06651964778228699,2266,567,5
NO2,89.86583218550378,27.858378786354614,-97.12618008048733,18.40734172550499,13.207464492592177,-0.026603047916557633,HGBR,18.40734172550499,13.207464492592177,21.103002303909182,17.133319245764834,2266,567,5
SO2,14.913508349225864,4.408297841030534,-0.9399176722600151,2.3390912318862034,1.2320485751272607,0.8713447835035109,HGBR,2.3390912318862034,1.2320485751272607,2.2923629072278193,1.776123682351864,2248,562,5
O3,35.05574641469271,20.834747415563236,-0.9532551255268661,15.06657082119742,10.65764742001905,0.6504302249559887,HGBR,15.06657082119742,10.65764742001905,13.182947178747987,10.417240672207011,2266,567,5
